"IT","EN"
"mestiere dell’attrice","profession of the actress"
"infanzia e adolescenza","childhood and adolescence"
"famiglia","family"
"relazione con la realtà","relation with reality"
"autodeterminazione","self-determination"
"eventi storici","historical events"
"sentimenti e stati d animo","feelings and moods"
"corpo","body"
"casa","home"
"relazione con gli uomini","relation with man"
"malinconia","meloncholy"
"scrivere","writing"
"performance di sé","self-performance"
"relazione con il mondo naturale","relation with the natural world"
"invecchiamento","aging"
"politica","politics"
"relazione con le donne","relation with women"
"eventi della vita","life events"
"dimensione spirituale","spiritual dimension"
"teatro","theater"
"formazione","education"
"prima esperienza teatrale","first theatrical experience"
"conflitto","conflict"
"fatica","fatigue"
"critica","criticism"
"scrittori","writers"
"autonomia","autonomy"
"fascismo","fascism"
"festival","festival"
"esordio cinematografico","cinematographic debut"
"rimpianto","regret"
"cibo","food"
"descrizione fisica","physical description"
"figli e figlie","sons and daughters"
"bagno","bath"
"amore e passione","love and passion"
"bocca","mouth"
"casa d’infanzia","childhood home"
"gestione del proprio destino","managing your own destiny"
"camerino","dressing room"
"abiti","clothes"
"depressione","depression"
"oggetti quotidiani","daily objects"
"scrittura-terapia","writing-therapy"
"dolore","pain"
"desiderio di libertà","desire for freedom"
"amore","love"
"genitori","parents"
"amiche d’infanzia","childhood friends"
"cura e accudimento","care and looking after"
"disturbi del comportamento alimentare","eating behaviour disorders"
"abbandono","abandonment"
"madre","mother"
"casa-prigione","home-prison"
"abusi","abuse"
"autenticità","authenticity"
"amicizia","friendship"
"nudo","naked"
"emancipazione (dai ruoli di moglie e di madre)","emancipation (from the roles of wife and mother)"
"dimenticare","forgetting"
"essere sole (solitudine come atto di autoderminazione)","being alone (solitude as an act of self-determination)"
"erotismo","eroticism"
"bellezza","beauty"
"analista","analyst"
"letteratura","literature"
"educazione in famiglia","family education"
"autorialità","autorship"
"alberi","trees"
"palcoscenico","stage"
"educazione religiosa","religious education"
"attori","actors"
"artisti","artists"
"animali domestici","pets"
"essere donna","being a woman"
"chirurgia estetica","cosmetic surgery"
"cinema muto","silent cinema"
"felicità","happiness"
"esperienza","experience"
"film","movie"
"arte","art"
"partner","partner"
"impegno civico e sociale","civic and social commitment"
"relazione con altre attrici","relationship with other actresses"
"case di produzione","production houses"
"fine carriera","career end"
"pensiero","thought"
"essere un altra","being another"
"attrice per caso","actress by chance"
"fiori","flowers"
"alcol","alcohol"
"interviste","interviews"
