keyword_set,language,row_id,text,gt_num_entailed,languages_present,models_present,templates_present,num_keywords_total,num_predictions_total,mean_error_all,median_error_all,worst_error_all,accuracy_all,mean_time_all,worst_accuracy_by_model,best_accuracy_by_model,std_accuracy_across_models,mean_accuracy_across_models,mean_f_score_across_models,best_score,worst_score
k,it,500,"Prendevo l’autobus tutte le mattine per andare alla nuova scuola, questa volta pubblica. Incontravo Catherine Deneuve alla fermata. Lei è più grande di me di qualche anno. Le donne si guardano fra loro molto più degli uomini, si guardano in una maniera molto primitiva, quasi animalesca. Ancora di più a quell’età in cui non si è ancora donne, ma non si è più neppure bambine. Mentre ci si trasforma nella donna futura, si è perfettamente coscienti di quanto di bello già si possiede fisicamente e di quelli che sono o saranno i nostri difetti. Mi guardavo in tutti gli specchi. Mi guardavo negli occhi degli altri. Mi guardavo di più negli occhi delle altre donne che in quelli degli uomini. Per timidezza e per istinto; sapevo già che gli occhi dell'uomo sono uno specchio deformante, anche se non avevo ancora dimestichezza con l’altro sesso. E poi non avevo l’audacia che mi avrebbe consentito di guardare un uomo negli occhi. Ero solo alla ricerca di una risposta che mi riguardava egoisticamente. Ricordo benissimo il nostro scrutarci l'un l’altra, come se avessimo intuito il reciproco futuro, come se ci fossimo riconosciute; due persone appartenenti, anche se in maniera molto diversa, a una stessa famiglia, legate da un destino simile. C’era sgomento nei nostri sguardi. Non si trattava di stabilire chi era la più alta, chi era la più snella, chi aveva gli occhi più grandi, i capelli più folti, le caviglie più sottili, come ci si vestiva, come ci si comportava. Ognuna studiava l’altrui modo di salire sull’autobus. Non andavamo nella stessa scuola. Ci spiavamo ingenuamente. Mi torna sempre in mente lo specchio, lo specchio di Eric. Lo specchio nel modo di essere di Anthonny, mio cugino. Io ero lo specchio di Catherine, lei era il mio, e ognuna attraverso l’altra guardava se stessa. Non esprimevamo sentimenti l’una verso l’altra, questo nostro sguardo era soltanto in cerca di una risposta che riguardava noi stesse. Il nostro era un rapporto di ansiosa, trepidante aspettativa. Ognuna aspettava l’altra, ma non l’altra per l’altra; aspettava l’altra per sé. Non sapevo che si chiamava anche lei Catherine.",9,it,"M1,M2,M3,M4,M5,M6,M7,M8","T0,T1",256,4096,0.6557506452805004,0.8742473423480988,0.99981772605679,0.31298828125,3.353849479346536,0.03515625,0.71875,0.2687511963675095,0.31298828125,0.09314348565955585,0.04423708488249051,1.9243195677048
k,it,458,"Ah! Sí, feci l’esame all’accademia. Sí, avevo la febbre a quaranta quella mattina. A Roma faceva tanto freddo. Venni ammessa lo stesso, con la borsa di studio, sí, ma…» Sentii quagliarmi il sangue in grumi di ghiaccio. Non dovevo parlare: ancora non sapevo se la «o» di borsa è aperta o chiusa. Non devo parlare. Si può accorgere che so pronunciare solo macchinalmente: che le parole di quella breve scena… (già! la vecchia pazza della Pesca di O’Neill). Se se ne accorge, ritorna sulla sua decisione di confermarmi la borsa di studio, e me la toglie. Lui comanda qui. Passerò per scortese, ma non devo aprire bocca. «Bene, bene, ragazzina: hai fatto dei miracoli. È incredibile! Brava, la borsa è confermata. Be’, non dici niente? Puoi essere contenta…» Quel padrone taceva, con un occhio mi fissava e con l’altro spiava fra i visi in silenzio, in attesa rispettosa dietro i tavoli. Era il padrone, e si vedeva da come lo guardavano, e lui aveva occhio per tutto. («I padroni hanno cento occhi»). Aspettava una risposta, ma non potevo ringraziare. La «e» di sono contenta è aperta o chiusa? Potrei dire sono emozionata, ma le «o» di sono emozionata erano chiuse o aperte? Non devo aprire bocca.",9,it,"M1,M2,M3,M4,M5,M6,M7,M8","T0,T1",256,4096,0.666924379270907,0.8492855727672577,0.9995436072349548,0.292724609375,3.2453239241003757,0.03515625,0.724609375,0.23772585462489326,0.292724609375,0.08218354670409754,0.05499875475010674,1.904193841130755
k,it,188,"[…] detti l’indirizzo del Ministero della Cultura Popolare. Il cuore mi batteva forte come quando decidevo qualcosa per cui occorreva molto coraggio. Quando scesi a via Veneto, entrando in portineria per farmi annunciare, pensai che era assurdo quello che stavo per fare […] non ero io la diva ufficiale […] ella entrava familiarmente dal giovanissimo ministro; […] Io restai in piedi stordita, ancora tutta vibrante per ciò che avevo visto e provato là all’ospedale e quell’essere ricevuta prontamente da Pavolini era stato cosi inaspettato, che non era riuscito a cancellare la mia ribellione. Pavolini entrò quasi subito, serio, la sua fronte curiosa, cocciuta e infelice sotto i capelli nerissimi che, con i baffi, interrompevano il pallore del viso. Lo avevo visto una sola volta prima di allora, ma lo ricordavo nitidamente. Con un gesto cortese mi invitò a sedere ma io, veemente, lo investii con parole affollate, il viso infiammato, gli occhi che mi si riempivano di lacrime […] — Ci vada, Eccellenza, ci vada lei in quell’ospedale a vedere con i suoi occhi la beffa ignobile a cui si espongono quelle migliaia di mutilati, di moribondi. Vada a vedere le facce degli ufficiali —. […] io ero quasi alla fine della mia esplosione. E, mentre esaurivo gli argomenti di quella ribellione, mi ascoltai dire : — Vi impiccheranno. Non possono che impiccarvi, non lo capite? Avevo finito. Quasi risvegliandomi guardai bene in faccia il mio muto interlocutore col cuore percosso di sgomento. Che avevo fatto? Che mi sarebbe successo ora? […] Il ministro si scostò lentamente e andò a sedersi su di una poltrona bassa, i gomiti sulle ginocchia, il viso appoggiato sui pugni chiusi. Io restai immobile dov’ero in silenzio. […] Mi guardò a lungo come a contemplarmi incuriosito, poi, restandosene seduto laggiù, quasi in terra, disse lentamente, e la sua voce era bella, morbida : — Ha ragione. Ha ragione. È assurdo quello che facciamo —. […] Lo guardavo ancora intenta ed egli […] disse: — Non parli a nessuno del nostro colloquio. Io l’ho considerato un gesto di amicizia e spero di dargliene la prova. La prova fu, forse, che da quel giorno furono sospese per tutta la durata del fascismo le visite delle dive agli ospedali militari.",4,it,"M1,M2,M3,M4,M5,M6,M7,M8","T0,T1",256,4096,0.5970601508855395,0.7259862422943115,0.9996964335441588,0.346923828125,3.078710410220083,0.015625,0.76953125,0.29039407629601655,0.346923828125,0.036085578903015225,0.056529751828983454,1.8871506607257151
k,it,182,"A Cinecittà […] stavamo girando con Valenti una scena di selvaggio, tentato possesso da parte di Cesare Borgia [interpretato da Valenti] su me, che impersonavo la consueta tenera colomba fra le grinfie del Nibbio. Il suo viso era nascosto da una maschera che doveva seppellire la turpitudine del male che lo piagava. La scena era stupida, difficile e io ero stanca e distratta: c’era una maledetta carrellata che non andava mai bene e, ogni volta, toccava ripetere la scena per questo o quell’errore tecnico. Intanto giacevo a terra, fra le braccia di Osvaldo, investita dal raggio infuocato dei riflettori, da quello freddo e abbagliante degli archi. […] Il ciak scoccò sonoro come uno schiaffo […]. Io spalancai gli occhi in una terrorizzata meraviglia, tentai di divincolarmi dalle braccia di Osvaldo che mi ghermivano scoprendomi una spalla e quando fui ben certa che la macchina era giunta al punto convenuto, mi alzai fino ad inginocchiarmi, difendendomi sempre meglio dall’abbraccio del bieco potente: ma ecco, ora la maschera del Borgia cadeva: coperto di orride piaghe ne appariva il viso. Lungo sguardo di terrore, urlo acutissimo, indi ricadevo svenuta. La candida biondezza dell’eroina allungata per terra si offriva ora intera alla macchina da presa e doveva creare una così intensa impressione di purità, da costringere quel satanasso butterato di Cesare Borgia a ritirarsi, abbandonandola, dopo averla guardata a lungo, là sola, svenuta e intatta. Il silenzio del «si gira» era carico di tensione. — Aaalt! — gridò il regista senza megafono, — per me è buona. — Anche per me, — disse l’operatore asciugandosi la faccia dal sudore. — Per il suono? — Due colpi di sirena rassicurarono dalla cabina acustica. — Bene, una buona, un’altra probabile. Basta così. […] Mi alzai, finalmente, sgranchendomi e sollevando la gran sottana del sontuoso costume cinquecentesco a stropicciare le ginocchia intorpidite. Le donne addette alla mia persona si avvicinarono con movimenti rapidi e precisi: la sarta, l’aiutosarta, la pettinatrice, la segretaria di edizione e l’aiutotrucco. Sembrava ripetersi il giuoco di una dama del Rinascimento circondata dalle sue donzelle.",7,it,"M1,M2,M3,M4,M5,M6,M7,M8","T0,T1",256,4096,0.6424960073695427,0.8226906061172485,0.9997451901435852,0.315185546875,3.1274035501119215,0.02734375,0.64453125,0.23931261330315695,0.315185546875,0.07270755239895288,0.07587293357184305,1.8815538108162848
k,it,88,"Ora tutto il mio essere, il mio pensiero convergevano sul personaggio che avrei dovuto interpretare. Chiamai Maria, pregandola di volermi dare il copione del film, di cui rilessi ripetute volte la scena. Ma, santo Dio, perché farmi incominciare dalla fine invece che dal principio? Mi sembrava una cosa talmente assurda! Solo in seguito ne compresi tutto il significato. Maria era presso di me: non mi perdeva d’occhio neanche un istante. Quando le restituii il copione, ella mormorò: « Coraggio, signorina; tutto andrà bene, vedrà. » Non so se furono le parole di quella brava donna o quelle che, qualche momento prima, mi aveva rivolto Gasnier, ma ora sentivo una sicurezza di cui non avrei saputo spiegare le cause. Pensavo che un miracolo sarebbe venuto in mio aiuto. Lo speravo in quel momento preciso dalla Provvidenza o dalla mia buona stella: una di quelle stelle che io avevo tanto amato da bambina. Mi sembrava di navigare in una irrealtà ben più strana di quella in cui nascevano le mie stelle. Ero presa in una specie di sortilegio e ormai non mi rimaneva altro che lasciarmi trasportare alla deriva da quel sogno che poteva trasformarsi in una stupenda, luminosa realtà. Ma ecco d’improvviso riapparire il sole: un sole lucente, poderoso, e la voce del regista giunse al mio orecchio come uno squillar di tromba: « Pronti tutti! Si gira! »",5,it,"M1,M2,M3,M4,M5,M6,M7,M8","T0,T1",256,4096,0.5858747134255591,0.6183512508869171,0.9997497275762726,0.433349609375,2.6390650482208002,0.125,0.953125,0.29057136193022975,0.433349609375,0.04781315529976042,0.14277824744477025,1.8761958029320613
k,it,193,"Con la Nanna [Anna Magnani] l’orgia di libertà divenne frenesia, a Roma. Riviste geniali furono composte per lei, che le animò di un pathos e di un’ironia conturbanti. Erompeva a Roma, dalla tortura di uno dei popoli più infelici e intelligenti, una esplosione di verità che avrebbe disperso per sempre, e non solo sul campo dell’espressione scenica, gli ultimi equivoci di un estetismo vuoto. […] Fu la Nanna, da quei palcoscenici nudi, a lanciare quel messaggio. Da un film girato con lei clandestinamente, quando ancora l’incubo dell’occupazione tedesca agghiacciava il sangue, quella sua faccia grandiosa di coscienza e di dolore, giunse, varcando il mare e i confini, in tutto il mondo; e la gente di tutto il mondo, turbata, ne accolse il racconto di pietà: alla Nanna, a De Sica, a Rossellini, a Visconti, a Zavattini, si deve un grande momento spirituale del nostro tempo, si deve, forse, se la nostra mortificata sofferenza, la nostra miseria, ebbero interpreti capaci di farle capire e amare dopo tanto isolamento. Bruna e potente essa sedeva in mezzo a tutti guardando in giro con lampi fosforescenti degli occhi grigi, in atteggiamento paradossale di riposo, la bocca semiaperta in un mezzo sorriso generoso e amaro. […] Per sollecitazione di qualcuno si alzava come una gatta tolta al suo torpore e con lentezza pensosa, quasi solenne, s’incamminava verso la scena; la vita sottile, eretta sulle reni vaste, i capelli vivi, ritorti in conturbante disordine. Alla sua entrata, dalla platea, attraverso le quinte, giungeva qualcosa che non era rumore, bensì come l’ansito di un tumultuare trattenuto da un silenzio irresistibile. Solo la voce, le mille voci della Nanna, burlesche, infantili, brune di improvvisa mestizia, si intridevano a quel silenzio caricandolo sempre più d’emozione. Il gesto largo delle braccia levate al disopra del capo triste e superbo, pareva concludere liberandola, tutta l’intensità che le sue parole e il suo canto avevano evocato fino a quel momento. Il pubblico esplodeva, allora, con impeto trascinante. Chiedeva innumerevoli bis, specialmente degli stornelli romaneschi dove per la prima volta udiva criticare, irridendole, tutte quelle cose che l’avevano torturato fino allora. E la voce volutamente nasale della Nanna, da monellaccio romano, si insinuava, stimolando alla pasquinata, al motteggio, alla ribellione. Poi, in un attimo, il suo viso guizzante in un lazzo grottesco si distendeva nella vastità della malinconia; la sua voce risorgeva dalle profondità cupe del petto, e tutta quella gente passava dal riso al pianto con la stessa prodigiosa mutevolezza dell’artista. […] Ci condussi Massimo Bontempelli una volta. Anche lui ne ebbe una impressione profonda. — Come fa a mantenere quella lucidità di dizione, quella sorvegliatissima intelligenza scenica in tanto abbandono? — si chiedeva.",8,it,"M1,M2,M3,M4,M5,M6,M7,M8","T0,T1",256,4096,0.5964633733963698,0.768873006105423,0.9998891516661388,0.357177734375,2.842053956264863,0.03125,0.7421875,0.2759163735817142,0.357177734375,0.06872427328772207,0.08126136079328578,1.8722688986442229
k,it,426,"Accidenti, ma perché? «Dovrei essere contenta!» mi dico. «SENATRICE! Ma ti rendi conto che onore t’è capitato?»«Sì, sì... senatrice!!!» e mi rifaccio il verso. Non ho mai pensato di arrivare a una carica tanto prestigiosa, non era proprio nei miei programmi! «Onorata, onorata» per carità... Mi sono trovata eletta senza aver mosso un dito. Non mi sento all’altezza... sono spaventata, anche se non lo dico a nessuno. «Non ti senti all’altezza? E allora, quelli che hanno votato per te, t’hanno scelta così, a caso? Proviamo con un’attrice... piazziamoci un bel personaggio decorativo, in quel mausoleo di tromboni! Piantala con 'sta solfa ! Ricordati di tutto il lavoro che hai tirato in piedi nelle carceri, l’organizzare le difese dei ragazzi arrestati per reati politici... sbattuti in galera, torturati... carceri speciali modello tedesco... le centinaia di spettacoli in sostegno delle fabbriche in lotta che hai fatto con Dario...» «Sì, ecco, ecco... adesso gonfiamoci di orgoglio...» «È solo per rinfrescarti la memoria, darti un po’ di sicurezza! Insomma! Ti sei sbattuta per anni solo per darti un tono...?! Come a fare un po’ di footing? Dovresti essere orgogliosa: pensa in quanti ti hanno votata! In quanti hanno avuto fiducia in te. È tutta gente che ti ha scelta con cognizione di causa. Non per caso. Forza!» «Ma vai al diavolo, tu e le tue leccate di gratifica!» Così, in conflitto con me stessa, salgo nell’appartamento.Mi guardo allo specchio: più tirata di così non potrei essere.«Che bello sfottermi con quel sorrisino... mi sento fuori posto... non all’altezza... non adeguata... in più sono vecchia per affrontare una vita nuova.» Be’, non esageriamo... Adesso, a guardarmi bene a tutto campo nello specchio, non mi vedo proprio da buttare! «Oh, per la miseria, alla tua età dovresti sbatter la coda per la gioia, cara senatrice! E anche voltolare su te stessa come in una danza?!» Facciamo conto di dover entrare in scena... sono figlia d’arte e noi della professione montando sul palcoscenico non si trema mai.",7,it,"M1,M2,M3,M4,M5,M6,M7,M8","T0,T1",256,4096,0.6070913844457735,0.7587673664093018,0.9996283650398254,0.34375,3.3011283358791843,0.02734375,0.755859375,0.26350130891875534,0.34375,0.06910379562981118,0.08024869108124466,1.8702210584043542
k,it,104,"Quella sera stessa Carrier ed io prendemmo la via di Roma. Giungemmo verso mezzanotte. Mia madre mi aspettava, ansiosa di rivedermi. Poco dopo Carrier ci lasciò per rientrare al « Grand Hotel ». Io mi chiusi in camera mia. Le emozioni della giornata erano state troppe. Mi distesi sul letto, pur sapendo che non avrei potuto dormire. Rivedevo quell’agitarsi di popolo intorno al feretro di Caruso e pensavo al destino crudele. Non mi riusciva fissare la mente in altre cose. Tanto successo, tanta gloria, per poi abbandonare tutto così improvvisamente. Ed era ancora giovane! La gloria si vendica, e il rovescio della medaglia c’è sempre per tutti nella vita. Chi sa, un giorno, ci sarebbe stato anche per me. Poi i pensieri mi si accavallarono: Cartier, il cinema. Avrei dovuto scegliere: o l’America o sposarmi. Ma il solo pensiero di un possibile distacco da Cartier mi faceva impazzire. Fu durante quella notte che presi l’irrevocabile decisione di finirla per sempre col cinematografo. Basta, ripetevo a me stessa, basta: è finita ormai!",5,it,"M1,M2,M3,M4,M5,M6,M7,M8","T0,T1",256,4096,0.6154888722384344,0.7608349323272705,0.9996789693832396,0.332763671875,2.694246633836883,0.044921875,0.783203125,0.2525006973278555,0.332763671875,0.05115339396317494,0.08026297454714448,1.8676685389495296
k,it,129,"Rita Hayworth era sconvolgente. Viveva la peggior tragedia per una star: una lenta decadenza. Era già ammalata di Alzheimer quando l’ho conosciuta? Lo ignoro. So soltanto che era profondamente infelice. Un giorno, sul set del Circo, l’abbiamo vista arrivare con dei lividi sul viso. Non so chi l’avesse ridotta in quel modo. Ma credo che avesse molti problemi con i figli che non tolleravano di vederla bere. Era straziante incontrare una dea ridotta in quello stato. Mi sentivo quasi a disagio, con i miei ventiquattro anni, il mio sorriso, i miei successi. Avrei voluto abbracciarla, consolarla. Un giorno, ci siamo ritrovate insieme davanti alle luci degli specchi, per un ritocco tra una scena e l’altra. Guardandomi mi ha detto: «Anch’io, sono stata bella». Un complimento che non nascondeva una certa ostilità. Non sono riuscita a trattenermi e ho pianto. La mia emozione l’ha toccata. Davanti a quella luce accecante, che non perdona, abbiamo lasciato cadere la maschera. Io mi sentivo impotente. Non si poteva far altro che arrendersi al destino, e forse, per un attimo, accompagnarla lungo il suo ultimo tratto di strada. Ci si stupirà forse di sapere che sul set le relazioni intime si stringono in questo modo, e che sovente finiscono con l’ultimo ciak. Ma è così. Noi attori, abbiamo una sola famiglia sulla scena: quella che il casting ci ha dato.",8,it,"M1,M2,M3,M4,M5,M6,M7,M8","T0,T1",256,4096,0.6021351473489753,0.7548966407775879,0.9997968077659608,0.36279296875,2.8694286758400267,0.03125,0.775390625,0.26383355244877393,0.36279296875,0.0745941901357472,0.09895941630122607,1.8657655075637098
k,it,417,"Mi vedo a quindici anni (1944) a un banco del liceo (che non ho terminato), con i fascisti che entrano in classe, in silenzio ci guardano una a una. Poi mi chiamano, dicono proprio il mio nome e cognome, e mi portano nello studio del preside. Non so di che colore fosse la mia faccia, ma avevo paura che tutti potessero sentire il battito del mio cuore. Pensavo, ora mi portano a Villa Triste. Villa Triste era una villetta all’inizio della strada che portava alla mia scuola, dove  tutti in città lo sapevano  venivano interrogati e torturati i partigiani. Ma io non ero una partigiana. Non ero niente. «Stai tranquilla» mi dicevo, «stai tranquilla...» Poi di colpo, alla prima domanda ho capito tutto. E il cuore giù, a battere più veloce. Adesso mi prende il coccolone e vado giù. «Conosci Enrico Mazzucchetti?» mi scuote il graduato.  «Sì.» «Dov’è?» «Non lo so.» Enrico, detto Bubi, era il mio amore dei quindici anni: il primo. «Non Io vedo da un po’.» Sapevo che era andato nei partigiani, ma qualche giorno prima l’avevo visto, era venuto sotto casa mia a darmi un bacio e un biglietto che avrei dovuto consegnare a qualcuno che, per farsi riconoscere, mi avrebbe detto: come sta Bubi? Dio mio, che era successo? «Allora?» Erano minacciosi. «Non lo vedo più...» e rimango lì, a bocca aperta come un’allocca. Giunti nello studio del preside mi hanno frugato in tasca. Poi mi hanno lasciata andare. La mia aria innocente li aveva convinti. Non ricordo altro. Mi sono ritrovata in classe con la testa staccata dal corpo e le mani sudate. Mi parlavo immaginando la voce di mia madre: «Sei  un’incosciente, sei una disgraziata. Se lo viene a sapere tuo padre ti ammazza, e fa bene». E facendo il segno della cro ce benedicevo l’idea che avevo avuto di stracciare in piccoli pezzi il biglietto con la missiva dopo essermela imparata a memoria, parola per parola. Quando una mattina andando a scuola sono stata contattata da una ragazza che non avevo mai visto, alla sua domanda, pronunciata con grande determinazione: «E Bubi come sta?» ho tirato un profondissimo respiro, poi ho detto tutto d’un fiato quel che dovevo dire e sono svenuta. Ma come si fa a essere così fragili ed emotivi? Non avrei mai potuto diventare una partigiana; neanche una staffetta...",9,it,"M1,M2,M3,M4,M5,M6,M7,M8","T0,T1",256,4096,0.6108221928295361,0.7899105846881866,0.9997065663337708,0.33544921875,3.2320786986820167,0.03515625,0.79296875,0.2540580547227412,0.33544921875,0.09382427795480176,0.08139116402725882,1.864586813886048
