text,time,self-determination,home,body,spiritual dimension,life events,historical events,family,childhood and adolescence,aging,meloncholy,self-performance,politics,relation with men,relation with the natural world,relation with reality,relation with women,writing,feelings and moods,profession of the actress
"You cannot touch the pulse to this sick [the Italian theater] without interrogating those who have shown that they know with dignity and consciousness to exercise this troubled art, which will ever have rest, which will never touch a goal, because just one has reached it , another arises different to conquer. So, for us, our life will always be a poor thing even if to the other splendid pairs. A life, which if it is made up of many lives and gives the joy and torment of living them all, tomorrow is nothing more.",0.04822606313973665,0.4898901879787445,0.4586637020111084,0.4020617604255676,0.36199235916137695,0.7684337496757507,0.4779917001724243,0.2142980992794037,0.252651572227478,0.7537251710891724,0.6264582872390747,0.5483644604682922,0.09598501771688461,0.24648581445217133,0.2281392365694046,0.5717735886573792,0.21438604593276978,0.5913248658180237,0.4084441065788269,0.29449155926704407
"I was fourteen, when I introduced myself to the Secretariat of the Academy of the Teatro dei Filodrammatici, to be admitted to the diction and acting courses of our school in Milan. But I had to go back, disappointed and sad, after a kind but firm denial having not yet reached the age prescribed by the regulations for admission (sixteen years). The following year, as if I had already reached that age, with the firmer face, I still knock on that door; And, in the face of so much good and passionate will, here is the first tear to the regulations, dates, principles, customs. [...]",0.04822606313973665,0.5292890071868896,0.4088927209377289,0.3601624369621277,0.22593171894550323,0.2657371163368225,0.39952677488327026,0.2114342451095581,0.32251131534576416,0.35875722765922546,0.5637916326522827,0.38668662309646606,0.04770611971616745,0.24571838974952698,0.11323165893554688,0.4421762526035309,0.16004042327404022,0.34323766827583313,0.288016140460968,0.4438336491584778
"[The Academy] was like my second and most true home [...] Ophelia Mazzoni lent with an enchantment, I would like to say authoritarian, his teaching; [...] The joy of my first conquest was his judgment [...]. Here in the second year, replace her, Enrico Reinach: good, paternal, elegant. I knew how to find the two veins in me: the dramatic vein and the comic vein; Therefore, I was among its students the only one to which two scenes were entrusted to each essay, a dramatic and a comedian.",0.04822606313973665,0.14306996762752533,0.23790986835956573,0.12101589143276215,0.10111212730407715,0.10952128469944,0.11442961543798447,0.09640724956989288,0.050319135189056396,0.13865257799625397,0.15270797908306122,0.14929094910621643,0.04070032760500908,0.111990787088871,0.06164340674877167,0.15371331572532654,0.0599040724337101,0.1491166651248932,0.09383617341518402,0.08564392477273941
"Among the memories of the Academy I cannot between leaving the greatest: the fortune of having had among the spectators, to one of the essays, Eleonora Duse. I didn't even have the good to see her in the face. [...] I had the meaning of his physical presence only when Enrico Reinach, at the end of the essay, told me radiant to have had the hottest congratulations from her for ""her student"".",0.04822606313973665,0.3377648890018463,0.4262915253639221,0.36058661341667175,0.27134981751441956,0.3601665198802948,0.38509809970855713,0.22309207916259766,0.05621783435344696,0.3638564646244049,0.436105340719223,0.4156804382801056,0.054710324853658676,0.2944680154323578,0.13821998238563538,0.45660775899887085,0.18543633818626404,0.3784657418727875,0.3295697271823883,0.2501448392868042
"His [by Enrico Reinach] teaching of two years had tightened our knowledge, devoted on my and friendly even towards my relatives on his part. So imagine my surprise, when I learned that my parents had not recommended my entry in art. A flame of anger climbed me to the forehead; A betrayal seemed to me. But he, with his old comedian experience, caressing my cheek with his beautiful hand jagged the little finger: ""Dear, the theater, it is better to see it from the armchair"". He already knew me engaged, and it was grateful to him to see me in the care of a house, rather than among the uncertainties and instability of a stage. [...] The family gripped the brakes more and more, forbidden to participate in any act [...] I also offended the possibility of entering Italian cinematography, [...] but you don't even dare to speak to my parents, although I felt attracted to me by This new and prestigious art form. I was looking forward to becoming of age to declare my aspiration. But the moment was also first [...] with the interest [...] of Sabatino Lopez, who then presided over the shows of the Teatro del Popolo in Milan. He convinced with his authority my parents that being stable theater based in the same city I could be an actress not moving away from home.",0.04822606313973665,0.28301143646240234,0.31377100944519043,0.2576649487018585,0.2579355835914612,0.2658746540546417,0.3008555471897125,0.32133686542510986,0.223231703042984,0.2799856960773468,0.2734661400318146,0.2934173345565796,0.18929187953472137,0.33213046193122864,0.2563974857330322,0.3009886145591736,0.26717719435691833,0.2863263487815857,0.3103207051753998,0.34691205620765686
"Ettore Paladini, director of the company, [...] looked at us with good eyes and tellers [...], and hard but illuminated in the face [...] by a light of intelligent goodness. My soul tempon to his discipline. Discipline of soldier, of just, of in love with his work. [...] Virgilio Talli I understood it immediately: exuberant of mind for his actors, [...] exuberant of love for the theater. His cries and his outbursts were not afraid of me. [...] And it was an unparalleled master for me. The attention to detail, albeit very small, was never in him at the expense of the general idea of ​​work.",0.04822606313973665,0.15202099084854126,0.11531437933444977,0.09184330701828003,0.17023618519306183,0.08518718183040619,0.11057218164205551,0.05797050893306732,0.07757150381803513,0.1358724981546402,0.18808023631572723,0.1590399593114853,0.027173517271876335,0.0962797999382019,0.05506999418139458,0.13761301338672638,0.050213493406772614,0.14403189718723297,0.22870969772338867,0.2238207310438156
"Sound by Marco Prague as one of the few mature actresses for a place of responsibility and pre -eminence, I was predestined to tie my youth [...] trained by the two major masters of the prose scene in Italy, [...] to the most beautiful and sublime Impro that a very young and disinterested spirit had to give to our country and to us actors with its high and human participation. While the Duse, around the world, blessed this company, here is that Luigi Pirandello, affected by the criticism of Marco Prague, writes to Talli for me. Following Talli's response, here in Milan a Pirandello place with the precise assignment of writing me first actress. Our first understanding took place like this: without being seen there or being spoken of us.",0.04822606313973665,0.2920370399951935,0.31110674142837524,0.2669459581375122,0.40252938866615295,0.24953284859657288,0.3896719515323639,0.1353667676448822,0.22641395032405853,0.31092411279678345,0.29214757680892944,0.23389719426631927,0.07002709805965424,0.2747202515602112,0.2442474514245987,0.4129856526851654,0.19383201003074646,0.5036115050315857,0.24785667657852173,0.44683051109313965
"I arrived in Rome with my mother and immediately ran to the Odescalchi Theater to take my place. The company had already gathered for some time; I [...] I came last. A bald man and with a small pointed beard, in the darkness of the stage, his pale and furrowed face, had jumped up with a portentous agility, in contrast with his appearance, as soon as someone said my name. And a warm and vigorous hand shook mine over and over again, with that cordiality that is only proper to men who know how to give and do good. [...] Curiosity, interest, envy, struggles, had turned on from the beginning; Lotte, I mean, by those who have always been against every noble and disinterested art business in the world of theater. The expectation of my presentation, exacerbated by the delay, was very lively. As with every great enterprise in the first beginning, the first settlement was difficult. [...] It was a triumph. A triumph for Bontempelli, for Luigi Pirandello, for the theater and for me. I cried of consolation and bliss. Never again, afterwards, I had such a full and pure joy.",0.04822606313973665,0.35387277603149414,0.39507704973220825,0.3232176899909973,0.40272068977355957,0.4570695161819458,0.4533455967903137,0.27951979637145996,0.25267356634140015,0.40087446570396423,0.38978877663612366,0.3333772122859955,0.22293595969676971,0.5806024670600891,0.40389445424079895,0.43410739302635193,0.3748854696750641,0.39608854055404663,0.49515479803085327,0.43046289682388306
"Only, helped by the watchful and constant love of my father, I took the reins of the first company ""Marta Abba"" in 1929, all of young people led and directed by me.  [...] I followed to carry around my greatest interpretations of the Pirandellian repertoire. [...] Wise and expert men of the theater [...] cataloged my repertoire as a cerebral and only artistic (i.e. anti antommerial). And the voice had spread to the public. Cerebral Marta Abba and great only in Pirandellian art. [...] And so the year after a second company of my formation, with a repertoire that was increasingly increasing of new interpretations, among which I like to remember above all that of Madame Legros, by Penelope di Maugham, the good fairy of Molnar, of our companion of Antoine, and of Anna Karenina taken from the novel of Tolstoi and the Grillo of the hearth taken from the novel by Dickens.",0.04974442510865629,0.4603590667247772,0.6118496060371399,0.5482255220413208,0.4506070613861084,0.4872334599494934,0.6174309253692627,0.46329525113105774,0.4577808976173401,0.47402140498161316,0.5456244349479675,0.5021289587020874,0.18800844252109528,0.7760951519012451,0.5330085754394531,0.6257677674293518,0.423272043466568,0.634865403175354,0.44719961285591125,0.5637769103050232
"Returning to the homeland after so many triumphs the most bitter disappointment awaited us: we no longer knew where to go. For debts contracted due to the reconstruction of the Odescalchi Theater that had to be paid by the State and for the delays that occurred in the payment, the theater had to be abandoned to the dealer of Prince Odescalchi. [...] The war began from the day that the will and passion of eleven young people founded a stable theater in Rome. In fact, the Odescalchi theater was also called ""theater of the Eleven"", and they placed Luigi Pirandello in charge; Covered and insidious struggle by a society that has grabbed the whole monopoly of theater in Italy: theaters, repertoires, companies. In the face of this war, I [...] remained to fight next to Luigi Pirandello, then always exposed to all the revenge of the opponents, feeling that the cause for which it was fought was holy, and all in favor of us actors for the dignity of ours profession and for the honor of Italian theater. From the contracts that companies made with the Compagnia del Teatro d'Arte in Rome, directed by Luigi Pirandello, it was demanded that alongside the name of the Maestro it would imagine as with the diction of writing, unique and only, mine; [...] A company that in all the nations of Europe had been welcomed with all the honors of the highest theaters, was condemned to turn almost only in the province [...] the only hope of salvation, South America. She had been promised to American impresario that our company would have been alone starting that year, 1926, for Argentina.",0.04974442510865629,0.24179719388484955,0.24405714869499207,0.2367924153804779,0.25139421224594116,0.23822946846485138,0.24631869792938232,0.22985787689685822,0.2661571800708771,0.24255149066448212,0.24955904483795166,0.24213935434818268,0.23185835778713226,0.24489715695381165,0.25163814425468445,0.2562200129032135,0.2290550172328949,0.26902294158935547,0.26497194170951843,0.24326536059379578
