"IT","EN"
"autodeterminazione","self-determination"
"casa","home"
"corpo","body"
"dimensione spirituale","spiritual dimension"
"eventi della vita","life events"
"eventi storici","historical events"
"famiglia","family"
"infanzia e adolescenza","childhood and adolescence"
"invecchiamento","aging"
"malinconia","meloncholy"
"performance di sé","self-performance"
"politica","politics"
"relazione con gli uomini","relation with men"
"relazione con il mondo naturale","relation with the natural world"
"relazione con la realtà","relation with reality"
"relazione con le donne","relation with women"
"scrivere","writing"
"sentimenti e stati d animo","feelings and moods"
"mestiere dell’attrice","profession of the actress"
