text,time,self-determination,home,body,spiritual dimension,life events,historical events,family,childhood and adolescence,aging,meloncholy,self-performance,politics,relation with men,relation with the natural world,relation with reality,relation with women,writing,feelings and moods,profession of the actress
"You cannot touch the pulse of this sick [Italian Theatre] without questioning those who have shown that they know with dignity and conscience to exercise this troubled art of ours, that will never rest, that will never touch a goal, because as soon as one has reached, another arises different from conquering. So, for us, our life will always be a poor thing even if to the other splendid pairs. A life, that if it is made of so many lives and gives the joy and torment to live them all, tomorrow then it is nothing.",0.07778004999272525,0.11155824363231659,0.44758644700050354,0.07276167720556259,0.9022803902626038,0.9887017607688904,0.8656744956970215,0.41987383365631104,0.3649354875087738,0.19696901738643646,0.16006846725940704,0.24779336154460907,0.0662492886185646,0.6457314491271973,0.085831418633461,0.9571241736412048,0.6363565921783447,0.3510778546333313,0.1403210163116455,0.1674995869398117
"I was fourteen years old when I introduced myself to the secretariat of the Academy of the Teatro dei Filodrammatici, to be admitted to the diction and acting courses of our school in Milan. But I had to go back, disappointed and sad, after a kind but firm denial having not yet reached the age prescribed by the regulations for admission (sixteen years). The following year, as if I had already reached that age, with a firmer face, I still knocked on that door; and, in the face of such a good and passionate will, here is the first tear from regulations, dates, principles, customs. [...]",0.07778004999272525,0.02687389962375164,0.44429972767829895,0.27316224575042725,0.06218261644244194,0.47579526901245117,0.7982709407806396,0.19549816846847534,0.7520752549171448,0.9829986095428467,0.04285567253828049,0.21240189671516418,0.0036321417428553104,0.46888962388038635,0.017509305849671364,0.1223745122551918,0.49581339955329895,0.5827162265777588,0.06586231291294098,0.22725032269954681
"[The Academy] was like a second and truer home of mine [...] Ofelia Mazzoni was lending with an enchantment, I would say authoritarian, her teaching; [...] The joy of my first conquest was her judgment [...]. Here then in the second year, replace her, Enrico Reinach: good, fatherly, noble. He could find in me the two veins: the dramatic vein and the comedy vein; therefore, I was among his students the only one to whom each essay was entrusted two scenes, one dramatic and one comic.",0.07778004999272525,0.01430879719555378,0.9970254302024841,0.34829309582710266,0.9171107411384583,0.6705272793769836,0.989687442779541,0.985863208770752,0.9300736784934998,0.7124096751213074,0.011350139044225216,0.3342818021774292,0.0017386970575898886,0.9234192967414856,0.7348445653915405,0.5826242566108704,0.9973337054252625,0.9105249643325806,0.634996771812439,0.38436034321784973
"Among the memories of the Academy I cannot leave the greatest: the venture of having had among the spectators, to one of the essays, Eleonora Duse. I didn't even have the good of seeing her face. [...] I had the sense of his physical presence only when Enrico Reinach, at the end of the essay, told me radiantly that he had received from her the warmest congratulations for his pupil.",0.07778004999272525,0.04496639594435692,0.7580033540725708,0.9261259436607361,0.8428361415863037,0.18243665993213654,0.4097045361995697,0.17981353402137756,0.8872950673103333,0.5298051834106445,0.00983502622693777,0.9041875600814819,0.0013856313889846206,0.9235060214996338,0.03334618732333183,0.8110548257827759,0.9974278211593628,0.9828399419784546,0.10413286089897156,0.5302624702453613
"His two - year teaching [by Henry Reinach] had grasped our knowledge more closely, devoted on my part and friendly also to my relatives on his part. Imagine, then, my surprise when I learned that my parents had not been informed of my entry into art. A flame of anger went up to my forehead; it seemed to me a betrayal. But he, with his old experience as a comedian, caressing my cheek with his beautiful hand jeweled to the little finger: ""Dear, the theater, it is better to see him from the armchair."" He already knew me engaged, and he was more grateful to see me in the care of a house than in the uncertainty and instability of a stage. [...] The family tightened more and more the brakes, prohibition to participate in any play [...] I was offered then also the possibility to enter the Italian cinematography, [...] but I didn't dare even mention it to my parents, although I felt attracted to this new and prestigious form of art. I looked forward to becoming an adult to declare my aspiration. But the moment came also before [...] with the interest [...] by Sabatino Lopez, who then presided at the performances of the Teatro del Popolo in Milan. He convinced my parents with his authority that being a stable theatre based in the same city, I could act as an actress and not stray from home.",0.07778004999272525,0.9804575443267822,0.9565250277519226,0.9307740926742554,0.990789532661438,0.9904285669326782,0.987565815448761,0.9864151477813721,0.9825127124786377,0.9789146780967712,0.6731559634208679,0.9744777679443359,0.87516188621521,0.9950881600379944,0.9883501529693604,0.9859621524810791,0.991936445236206,0.9749050736427307,0.9845300316810608,0.9867785573005676
"Ettore Paladini, director of the Company, [...] looked at us with good eyes and peers [...], and hard but illuminated in the face [...] by a light of intelligent goodness. My soul tightened to its discipline. Discipline of soldier, just, in love with his work. [...] Virgilio Talli I immediately understood him: exuberant in spirit for his actors, [...] exuberant in love for the theater. I wasn't afraid of his screaming and his fury. [...] And he was an incomparable Master for me. The care of detail, although very minute, was never in him at the expense of the general idea of work.",0.07778004999272525,0.03190596401691437,0.7759376168251038,0.3020280599594116,0.9860222935676575,0.29109522700309753,0.8177036643028259,0.05458540841937065,0.4461565613746643,0.5944594740867615,0.018448224291205406,0.900826632976532,0.0109879644587636,0.9969799518585205,0.013800933957099915,0.4577764868736267,0.41244566440582275,0.4103012979030609,0.9235536456108093,0.07658171653747559
"Added by Marco Praga as one of the few mature actresses for a place of responsibility and prominence, I was predestined to tie my youth [...] trained by the two major masters of the prose scene in Italy, [...] to the most beautiful and sublime undertaking that a very young and selfless spirit had to give to our country and to us actors with its high and human participation. While Duse, around the world, blessed this undertaking, Luigi Pirandello, interested in Marco Praga's criticism, wrote to Talli for me. Following Talli's reply, here is a poster from Pirandello in Milan with the precise task of writing me first actress. Our first understanding was like this: without seeing or speaking to us.",0.07778004999272525,0.016087189316749573,0.9494951963424683,0.19125190377235413,0.9385813474655151,0.36719077825546265,0.6599763631820679,0.45439618825912476,0.6190434098243713,0.00996346864849329,0.005153405014425516,0.7053227424621582,0.2724914252758026,0.25979286432266235,0.9414559006690979,0.4330538213253021,0.9886179566383362,0.9973222017288208,0.05612986907362938,0.8586965799331665
"I arrived in Rome with my mother and immediately ran to the Odescalchi Theatre to take my place. The Company was already reunited for some time; I [...] came last. A bald man with a small pointed beard, in the darkness of the stage, the pale and furrowed face, had leaped up with a portentous agility, in contrast to his appearance, as soon as someone said my name. And a warm and vigorous hand shook me over and over again, with that friendliness that is proper only to men who know how to give and do good. [...] Curiosity, interest, envy, struggles had been on since the beginning; struggles, I mean, by those who have always been opposed to every noble and disinterested art venture in the world of theatre. The wait for my presentation, exacerbated by the delay, was very lively. As with any major enterprise in the early days, the first settlement was difficult. [...] It was a triumph. A triumph for Bontempelli, for Luigi Pirandello, for the Theatre and for me. I cried for consolation and bliss. Never again, afterward, did I have such a full and pure joy.",0.07778004999272525,0.8512411713600159,0.9759882688522339,0.9466278553009033,0.9889785647392273,0.9942975640296936,0.9977787733078003,0.7701033353805542,0.984531581401825,0.9950869083404541,0.01581127569079399,0.9930403828620911,0.9452499747276306,0.9944063425064087,0.9024729132652283,0.9298591017723083,0.8808647990226746,0.9593071937561035,0.9925193786621094,0.03547081723809242
"Alone, helped by my father's watchful and constant love, I took the reins of the first Company Marta Abba in 1929, all of young people led and directed by me.  [...] I followed to carry around my major interpretations of the Pirandelli repertoire. [...] wise men and experts of the theatre [...] catalogued my repertoire as a brain and only artistic (i.e. anti-commercial). And the voice spread to the public. Cerebral Marta Abba is great only in piradellian art. [...] And so the year after a second Company of my formation, with a repertoire that was increasingly increasing of new interpretations, among which I like to remember above all that of Madame Legros, Penelope of Maugham, The Good Fairy of Molnar, Our companion of Antoine, and Anna Kapina taken from the novel of Tolstoi and the Cricket of the hearth taken from the novel of Dickens.",0.08331504929810762,0.08478913456201553,0.9519924521446228,0.48610585927963257,0.959839403629303,0.8989157676696777,0.9980707764625549,0.9442523121833801,0.8913483619689941,0.05762343108654022,0.008481389842927456,0.6914123296737671,0.2458299696445465,0.9972181916236877,0.1006210669875145,0.19051364064216614,0.9813104271888733,0.9734108448028564,0.0765010342001915,0.006154012866318226
"Returning to our homeland after many triumphs, the bitterest disappointment awaited us: we no longer knew where to go. For the debts incurred due to the reconstruction of the Odescalchi Theatre that had to be paid by the State and for the delays in payment, the Theatre had to abandon itself to the concessionary of Prince Odescalchi. [...] The war began from the day that the will and passion of eleven young people founded a stable theatre in Rome. In fact, the Odescalchi Theatre was also called ""Theatre of the Eleven,"" and they put Luigi Pirandello at the head of it; the struggle was covered and insidious by a society that hijacked the entire monopoly of theatre in Italy: theatres, repertoire, Compagnie. In the face of this war I [...] remained to fight alongside Luigi Pirandello, then always exposed to all the vendetta of the opponents, feeling that the cause for which he fought was holy, and all in favor of us actors for the dignity of our profession and for the honor of the Italian Theatre. From the contracts that the companies did with the Compagnia del Teatro d'Arte of Rome, directed by Luigi Pirandello, it was demanded that next to the name of the Master figure as a diction of writing, unique and only, mine; [...] A Company that in all the nations of Europe had been welcomed with all the honors of the greatest theaters, was condemned to shoot almost only in the province [...] Only hope of salvation the South America. It had been promised to the American contractor that our Company would be alone in that year, 1926, for Argentina.",0.08331504929810762,0.5564899444580078,0.29732200503349304,0.7177010774612427,0.953528642654419,0.7785758376121521,0.9387339353561401,0.719623863697052,0.9818997979164124,0.20364533364772797,0.4270544946193695,0.5647073984146118,0.7902447581291199,0.9692286252975464,0.9339086413383484,0.7997742295265198,0.6607401371002197,0.5343085527420044,0.9910485148429871,0.06114327162504196
