"text","profession of the actress","childhood and adolescence","family","relation with reality","self-determination","historical events","feelings and moods","body","home","relation with man","meloncholy","writing","self-performance","relation with the natural world","aging","politics","relation with women","life events","spiritual dimension","theater","education","first theatrical experience","conflict","fatigue","criticism","writers","autonomy","fascism","festival","cinematographic debut","regret","food","physical description","sons and daughters","bath","love and passion","mouth","childhood home","managing your own destiny","dressing room","clothes","depression","daily objects","writing-therapy","pain","desire for freedom","love","parents","childhood friends","care and looking after","eating behaviour disorders","abandonment","mother","home-prison","abuse","authenticity","friendship","naked","emancipation (from the roles of wife and mother)","forgetting","being alone (solitude as an act of self-determination)","eroticism","beauty","analyst","literature","family education","autorship","trees","stage","religious education","actors","artists","pets","being a woman","cosmetic surgery","silent cinema","happiness","experience","movie","art","partner","civic and social commitment","relationship with other actresses","production houses","career end","thought","being another","actress by chance","flowers","alcohol","interviews","complicity","anguish","desire and attraction","being a diva","masculine traits","conflict as an affirmation of the self","personagge","reciting","mirror","games","anti-diva","imagination","breastfeeding","memory","music","abortion","Liberation from nazi-fascism","anti-fascism","theatrical debut","cinecittà","second world war","fear","competition","activities in the resistance","drugs","contracts","self-taught","prizes","watching","press and television","making cinema","ugliness","first loves","writing-freedom","religion","school","socks","accepting","audition","photogenicity","remembering","maternity","sea","producer","husband","movie industry","jet-set","evening dress","divorce","sex","pregnancy","directors","death of the mother","sensuality","to feel","legal proceedings","disappointment","unease","concentration","imaginary","money as emancipation","marriage proposal","patriarchal education","feminism","jealousy","entry into parliamentary politics","end of the career","church","faith","anxiety","impossible loves","insomnia","truth","vocation","comedy","death of Marilyn Monroe","death of the Father","home-haven","kitchen","inventing","screenplay","make-up and disguise","loneliness","sexual violence","transgression","measures","psychic suffering","wild animals","camera","bosom","equality","beauty contests","pygmalion relationship","garden","marriage","trauma","dreaming","set","seduction","heels","male gaze","advertising","shame","fandom","birth of children","metamorphosis","Rome","spirituality","unhappiness","travelling","household chores","retrospective life","trips","island","sensoriality","first world war","death of dear friends","out of picture","slap","couple life","transformation of the body","health","their own birth","death of the husband","game","evidence","resistence","testimonial","escape","jewels","grown-up children","television","father","second wave feminism","feeling alone","movement of the sixty-eight","losing","monstrosity","brothers","time for themself","feet","losing home","radio","sisters","psychotropic medications","simplicity","choices","menstruation","referendum on divorce","violence","suicide","cinematographic gaze","resentment","sexism","scandals","joy","spectator","eyes","nuns","tangentopoli","betrayals","irony","referendum on abortion","wedding","anger"
"You cannot touch the pulse of this sick [Italian Theatre] without questioning those who have shown that they know with dignity and conscience to exercise this troubled art of ours, that will never rest, that will never touch a goal, because as soon as one has reached, another arises different from conquering. So, for us, our life will always be a poor thing even if to the other splendid pairs. A life, that if it is made of so many lives and gives the joy and torment to live them all, tomorrow then it is nothing.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I was fourteen years old when I introduced myself to the secretariat of the Academy of the Teatro dei Filodrammatici, to be admitted to the diction and acting courses of our school in Milan. But I had to go back, disappointed and sad, after a kind but firm denial having not yet reached the age prescribed by the regulations for admission (sixteen years). The following year, as if I had already reached that age, with a firmer face, I still knocked on that door; and, in the face of such a good and passionate will, here is the first tear from regulations, dates, principles, customs. [...]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[The Academy] was like a second and truer home of mine [...] Ofelia Mazzoni was lending with an enchantment, I would say authoritarian, her teaching; [...] The joy of my first conquest was her judgment [...]. Here then in the second year, replace her, Enrico Reinach: good, fatherly, noble. He could find in me the two veins: the dramatic vein and the comedy vein; therefore, I was among his students the only one to whom each essay was entrusted two scenes, one dramatic and one comic.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Among the memories of the Academy I cannot leave the greatest: the venture of having had among the spectators, to one of the essays, Eleonora Duse. I didn't even have the good of seeing her face. [...] I had the sense of his physical presence only when Enrico Reinach, at the end of the essay, told me radiantly that he had received from her the warmest congratulations for his pupil.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"His two - year teaching [by Henry Reinach] had grasped our knowledge more closely, devoted on my part and friendly also to my relatives on his part. Imagine, then, my surprise when I learned that my parents had not been informed of my entry into art. A flame of anger went up to my forehead; it seemed to me a betrayal. But he, with his old experience as a comedian, caressing my cheek with his beautiful hand jeweled to the little finger: ""Dear, the theater, it is better to see him from the armchair."" He already knew me engaged, and he was more grateful to see me in the care of a house than in the uncertainty and instability of a stage. [...] The family tightened more and more the brakes, prohibition to participate in any play [...] I was offered then also the possibility to enter the Italian cinematography, [...] but I didn't dare even mention it to my parents, although I felt attracted to this new and prestigious form of art. I looked forward to becoming an adult to declare my aspiration. But the moment came also before [...] with the interest [...] by Sabatino Lopez, who then presided at the performances of the Teatro del Popolo in Milan. He convinced my parents with his authority that being a stable theatre based in the same city, I could act as an actress and not stray from home.",1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ettore Paladini, director of the Company, [...] looked at us with good eyes and peers [...], and hard but illuminated in the face [...] by a light of intelligent goodness. My soul tightened to its discipline. Discipline of soldier, just, in love with his work. [...] Virgilio Talli I immediately understood him: exuberant in spirit for his actors, [...] exuberant in love for the theater. I wasn't afraid of his screaming and his fury. [...] And he was an incomparable Master for me. The care of detail, although very minute, was never in him at the expense of the general idea of work.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Added by Marco Praga as one of the few mature actresses for a place of responsibility and prominence, I was predestined to tie my youth [...] trained by the two major masters of the prose scene in Italy, [...] to the most beautiful and sublime undertaking that a very young and selfless spirit had to give to our country and to us actors with its high and human participation. While Duse, around the world, blessed this undertaking, Luigi Pirandello, interested in Marco Praga's criticism, wrote to Talli for me. Following Talli's reply, here is a poster from Pirandello in Milan with the precise task of writing me first actress. Our first understanding was like this: without seeing or speaking to us.",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I arrived in Rome with my mother and immediately ran to the Odescalchi Theatre to take my place. The Company was already reunited for some time; I [...] came last. A bald man with a small pointed beard, in the darkness of the stage, the pale and furrowed face, had leaped up with a portentous agility, in contrast to his appearance, as soon as someone said my name. And a warm and vigorous hand shook me over and over again, with that friendliness that is proper only to men who know how to give and do good. [...] Curiosity, interest, envy, struggles had been on since the beginning; struggles, I mean, by those who have always been opposed to every noble and disinterested art venture in the world of theatre. The wait for my presentation, exacerbated by the delay, was very lively. As with any major enterprise in the early days, the first settlement was difficult. [...] It was a triumph. A triumph for Bontempelli, for Luigi Pirandello, for the Theatre and for me. I cried for consolation and bliss. Never again, afterward, did I have such a full and pure joy.",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alone, helped by my father's watchful and constant love, I took the reins of the first Company Marta Abba in 1929, all of young people led and directed by me.  [...] I followed to carry around my major interpretations of the Pirandelli repertoire. [...] wise men and experts of the theatre [...] catalogued my repertoire as a brain and only artistic (i.e. anti-commercial). And the voice spread to the public. Cerebral Marta Abba is great only in piradellian art. [...] And so the year after a second Company of my formation, with a repertoire that was increasingly increasing of new interpretations, among which I like to remember above all that of Madame Legros, Penelope of Maugham, The Good Fairy of Molnar, Our companion of Antoine, and Anna Kapina taken from the novel of Tolstoi and the Cricket of the hearth taken from the novel of Dickens.",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Returning to our homeland after many triumphs, the bitterest disappointment awaited us: we no longer knew where to go. For the debts incurred due to the reconstruction of the Odescalchi Theatre that had to be paid by the State and for the delays in payment, the Theatre had to abandon itself to the concessionary of Prince Odescalchi. [...] The war began from the day that the will and passion of eleven young people founded a stable theatre in Rome. In fact, the Odescalchi Theatre was also called ""Theatre of the Eleven,"" and they put Luigi Pirandello at the head of it; the struggle was covered and insidious by a society that hijacked the entire monopoly of theatre in Italy: theatres, repertoire, Compagnie. In the face of this war I [...] remained to fight alongside Luigi Pirandello, then always exposed to all the vendetta of the opponents, feeling that the cause for which he fought was holy, and all in favor of us actors for the dignity of our profession and for the honor of the Italian Theatre. From the contracts that the companies did with the Compagnia del Teatro d'Arte of Rome, directed by Luigi Pirandello, it was demanded that next to the name of the Master figure as a diction of writing, unique and only, mine; [...] A Company that in all the nations of Europe had been welcomed with all the honors of the greatest theaters, was condemned to shoot almost only in the province [...] Only hope of salvation the South America. It had been promised to the American contractor that our Company would be alone in that year, 1926, for Argentina.",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
